,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
218,2021-05-22 01:34:33,2021,34.66,98.19,10.0,4.5,"775km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1404,2020-07-30 21:22:55,2020,30.13,95.08,10.0,3.9,"221km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
219,2021-05-22 01:19:15,2021,34.64,97.94,10.0,4.5,"765km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1402,2020-07-31 00:08:46,2020,30.01,94.56,10.0,4.3,"219km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
213,2021-05-22 08:08:49,2021,34.53,98.43,10.0,5.0,"770km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1398,2020-08-01 00:28:58,2020,29.91,94.45,20.0,4.0,"212km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
196,2021-05-25 04:30:23,2021,34.9,97.83,10.0,4.5,"789km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
221,2021-05-21 23:34:14,2021,34.65,98.06,10.0,7.0,"770km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
809,2020-12-24 05:21:51,2020,34.21,97.99,10.0,4.6,"722km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2359,2020-01-18 23:30:16,2020,31.6,93.5,10.0,4.6,"418km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
241,2021-05-17 10:07:39,2021,30.92,91.88,165.0,4.2,"371km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
1266,2020-09-01 22:08:51,2020,31.89,93.56,150.0,3.8,"448km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
2332,2020-01-23 19:56:37,2020,33.0,98.6,36.0,4.8,"614km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
220,2021-05-22 00:33:09,2021,34.49,98.94,10.0,4.8,"781km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
211,2021-05-22 08:51:19,2021,34.78,97.96,12.0,4.6,"780km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1408,2020-07-29 22:58:03,2020,29.91,94.64,145.0,4.3,"206km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1410,2020-07-29 16:37:19,2020,29.72,95.15,153.1,4.4,"175km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1461,2020-07-21 00:51:43,2020,30.33,94.75,35.0,4.6,"248km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1446,2020-07-23 06:17:31,2020,30.21,96.81,10.0,4.6,"274km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1466,2020-07-20 06:06:54,2020,30.0,93.75,10.0,4.0,"242km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
1467,2020-07-20 05:06:43,2020,30.28,94.72,32.0,4.4,"243km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
198,2021-05-24 19:45:41,2021,33.93,97.17,81.0,4.3,"668km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
152,2021-06-03 11:25:23,2021,34.68,97.8,63.0,4.8,"765km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1472,2020-07-19 15:45:50,2020,30.43,94.86,35.0,4.8,"257km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1432,2020-07-24 19:04:30,2020,30.25,94.78,10.0,4.5,"239km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1478,2020-07-19 02:06:55,2020,29.9,95.19,10.0,3.1,"195km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1207,2020-09-15 10:08:14,2020,31.68,93.73,120.0,4.2,"420km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
207,2021-05-22 15:09:38,2021,34.77,97.39,10.0,4.5,"763km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
209,2021-05-22 12:36:33,2021,34.1,97.8,10.0,4.5,"704km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1427,2020-07-26 21:01:04,2020,33.38,93.0,10.0,4.2,"621km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1426,2020-07-26 23:39:36,2020,30.69,95.73,10.0,3.8,"286km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1422,2020-07-27 11:20:26,2020,30.08,94.56,30.0,4.6,"226km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1419,2020-07-28 09:02:55,2020,30.21,94.65,154.0,4.8,"237km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
210,2021-05-22 09:33:40,2021,35.47,99.56,34.0,4.2,"902km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
1368,2020-08-08 14:14:08,2020,30.1,94.56,10.0,4.3,"228km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2330,2020-01-23 21:00:04,2020,32.6,99.9,10.0,3.9,"624km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
1459,2020-07-21 11:48:54,2020,30.29,94.8,46.0,4.5,"243km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2322,2020-01-25 04:26:05,2020,31.9,94.9,10.0,5.4,"419km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1335,2020-08-14 21:13:50,2020,29.73,94.66,165.0,3.7,"186km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1336,2020-08-14 18:28:52,2020,29.66,94.2,195.0,4.1,"192km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
2296,2020-01-30 04:52:43,2020,30.1,96.1,32.0,3.8,"232km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1324,2020-08-17 22:02:02,2020,30.082,94.598,128.0,4.3,"225km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1363,2020-08-09 14:20:22,2020,29.65,94.49,200.0,4.1,"184km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1343,2020-08-13 10:53:03,2020,30.41,94.54,10.0,4.2,"262km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1344,2020-08-13 09:57:59,2020,30.43,94.73,10.0,4.3,"259km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1345,2020-08-13 06:03:02,2020,39.23,95.28,10.0,4.5,"1233km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1348,2020-08-12 21:28:01,2020,30.37,95.79,178.0,4.6,"252km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
172,2021-05-30 12:25:17,2021,34.55,98.29,12.0,4.7,"767km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1221,2020-09-11 12:42:55,2020,39.0,92.18,10.0,5.3,"1240km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1352,2020-08-12 04:18:40,2020,29.66,95.73,183.0,3.5,"174km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1354,2020-08-12 02:57:40,2020,29.56,94.93,35.0,3.7,"161km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
125,2021-06-16 14:18:59,2021,38.02,93.53,10.0,5.4,"1110km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1328,2020-08-16 22:10:34,2020,30.89,95.47,10.0,4.5,"306km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1355,2020-08-11 23:44:16,2020,30.46,94.83,30.0,4.8,"261km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1319,2020-08-19 20:38:56,2020,32.19,96.39,50.0,4.2,"462km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1362,2020-08-09 22:43:34,2020,30.299,94.709,10.0,4.4,"246km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1695,2020-06-06 16:25:58,2020,35.258,90.868,10.0,5.4,"859km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
2533,2019-11-23 03:57:19,2019,32.9,91.9,10.0,4.2,"591km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
173,2021-05-30 10:20:15,2021,34.61,98.07,10.0,4.7,"766km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
304,2021-05-03 23:16:23,2021,31.71,91.84,10.0,3.7,"459km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
2504,2019-12-02 06:42:44,2019,23.1,93.7,12.0,4.5,"54km SE of Champhai, Mizoram, India", Mizoram,10
2522,2019-11-26 09:23:45,2019,24.1,94.3,10.0,4.2,"69km SE of Moirang, Manipur, India", Manipur,10
2459,2019-12-16 08:40:31,2019,24.1,93.8,10.0,3.5,"44km S of Moirang, Manipur, India", Manipur,10
2715,2019-08-04 05:40:33,2019,24.7,94.3,40.0,4.1,"31km SW of Ukhrul, Manipur, India", Manipur,10
2505,2019-12-02 02:52:10,2019,24.6,94.2,57.0,2.9,"35km SE of Imphal, Manipur, India", Manipur,10
2524,2019-11-26 01:08:51,2019,24.5,92.4,10.0,3.2,"28km ENE of Dharmanagar, Tripura, India", Tripura,10
174,2021-05-29 19:08:16,2021,24.51,94.69,16.0,3.9,"51km SSE of Ukhrul, Manipur, India", Manipur,10
2137,2020-03-06 16:47:11,2020,24.7,94.3,14.0,3.4,"31km SW of Ukhrul, Manipur, India", Manipur,10
2457,2019-12-16 22:21:14,2019,25.0,95.2,60.0,3.8,"73km E of Ukhrul, Manipur, India", Manipur,10
2544,2019-11-20 03:14:33,2019,24.4,94.1,45.0,3.1,"34km ESE of Moirang, Manipur, India", Manipur,10
2057,2020-03-26 00:48:16,2020,24.5,94.5,30.0,3.8,"48km S of Ukhrul, Manipur, India", Manipur,10
454,2021-04-02 00:21:47,2021,23.87,92.92,28.0,3.8,"25km NE of Aizawl, Mizoram, India", Mizoram,10
2061,2020-03-25 02:26:44,2020,24.7,95.1,126.0,3.0,"67km ESE of Ukhrul, Manipur, India", Manipur,10
2466,2019-12-14 00:22:06,2019,23.0,94.3,50.0,3.3,"111km ESE of Champhai, Mizoram, India", Mizoram,10
2701,2019-08-18 11:58:32,2019,23.9,93.7,45.0,4.7,"49km E of Ngopa, Mizoram, India", Mizoram,10
2073,2020-03-21 13:28:45,2020,23.2,94.3,118.0,4.5,"103km ESE of Champhai, Mizoram, India", Mizoram,10
23,2021-07-22 16:28:47,2021,24.84,94.15,40.0,3.5,"21km E of Imphal, Manipur, India", Manipur,10
2534,2019-11-22 23:10:22,2019,25.4,94.5,20.0,3.0,"31km NNE of Shirui, Manipur, India", Manipur,10
2694,2019-08-26 04:21:34,2019,24.5,92.9,75.0,3.5,"75km NNW of Ngopa, Mizoram, India", Mizoram,10
2067,2020-03-24 06:34:25,2020,25.7,94.2,20.0,2.8,"9km ENE of Kohima, Nagaland, India", Nagaland,10
2536,2019-11-22 14:00:39,2019,25.0,94.0,25.0,3.7,"21km NNE of Imphal, Manipur, India", Manipur,10
194,2021-05-26 00:53:08,2021,23.55,94.58,90.0,4.3,"128km E of Champhai, Mizoram, India", Mizoram,10
2066,2020-03-24 06:34:26,2020,25.77,94.16,15.0,2.8,"11km NNE of Kohima, Nagaland, India", Nagaland,10
195,2021-05-26 00:20:35,2021,25.36,94.11,30.0,2.6,"35km S of Kohima, Nagaland, India", Nagaland,10
2493,2019-12-05 03:52:10,2019,23.5,94.1,10.0,3.1,"78km E of Champhai, Mizoram, India", Mizoram,10
169,2021-05-31 02:00:36,2021,24.65,94.77,24.0,3.4,"42km SE of Ukhrul, Manipur, India", Manipur,10
2702,2019-08-17 22:56:41,2019,25.5,94.5,58.0,2.9,"42km N of Shirui, Manipur, India", Manipur,10
2686,2019-09-05 22:22:55,2019,24.7,92.9,31.0,3.4,"83km ENE of Dharmanagar, Tripura, India", Tripura,10
185,2021-05-27 23:59:05,2021,25.04,93.52,12.0,2.7,"48km WNW of Imphal, Manipur, India", Manipur,10
166,2021-06-01 01:19:34,2021,23.21,94.64,80.0,4.7,"136km E of Champhai, Mizoram, India", Mizoram,10
13,2021-07-26 10:33:31,2021,24.6,94.33,50.0,4.9,"39km SSW of Ukhrul, Manipur, India", Manipur,10
2462,2019-12-15 09:23:37,2019,25.2,94.8,94.0,3.9,"39km ENE of Shirui, Manipur, India", Manipur,10
2260,2020-02-08 02:37:03,2020,23.37,94.15,10.0,3.2,"84km E of Champhai, Mizoram, India", Mizoram,10
148,2021-06-05 00:47:17,2021,25.29,94.68,10.0,3.1,"31km NE of Shirui, Manipur, India", Manipur,10
153,2021-06-03 08:16:27,2021,24.27,94.28,10.0,3.5,"56km ESE of Moirang, Manipur, India", Manipur,10
255,2021-05-13 09:15:00,2021,23.519,92.614,10.0,3.3,"25km SSW of Aizawal,Mizoram,India", Mizoram,10
267,2021-05-09 09:03:26,2021,22.46,92.8,28.0,3.7,"91km S of Thenzawl, Mizoram, India", Mizoram,10
2226,2020-02-15 13:42:18,2020,22.94,93.36,3.4,2.8,"57km S of Champhai, Mizoram, India", Mizoram,10
89,2021-07-04 19:00:52,2021,24.81,93.9,30.0,3.3,"3km WSW of Imphal, Manipur, India", Manipur,10
2628,2019-10-18 22:18:00,2019,23.2,94.3,150.0,4.2,"103km ESE of Champhai, Mizoram, India", Mizoram,10
2227,2020-02-15 09:55:08,2020,25.28,94.84,127.0,2.9,"45km ENE of Shirui, Manipur, India", Manipur,10
122,2021-06-18 01:06:08,2021,24.3,94.1,10.0,3.0,"39km ESE of Moirang, Manipur, India", Manipur,10
2228,2020-02-15 04:58:53,2020,21.7,93.5,30.0,3.5,"190km SSE of Thenzawl, Mizoram, India", Mizoram,10
276,2021-05-08 10:24:18,2021,25.18,93.6,154.0,3.8,"52km NW of Imphal, Manipur, India", Manipur,10
2578,2019-11-09 13:07:38,2019,24.9,92.7,20.0,3.3,"80km NE of Dharmanagar, Tripura, India", Tripura,10
2230,2020-02-14 20:05:28,2020,25.0,94.6,76.0,3.6,"14km ENE of Ukhrul, Manipur, India", Manipur,10
2241,2020-02-11 23:04:31,2020,24.9,95.0,120.0,3.0,"52km E of Ukhrul, Manipur, India", Manipur,10
2625,2019-10-20 22:01:27,2019,23.5,94.5,142.6,3.1,"119km E of Champhai, Mizoram, India", Mizoram,10
2299,2020-01-29 19:13:05,2020,24.53,94.95,120.0,4.0,"65km SE of Ukhrul, Manipur, India", Manipur,10
250,2021-05-14 22:12:03,2021,24.99,95.03,101.0,4.3,"55km E of Ukhrul, Manipur, India", Manipur,10
327,2021-04-30 02:34:04,2021,23.54,94.8,10.0,3.6,"148km SE of Moirang, Manipur, India", Manipur,10
326,2021-04-30 03:29:12,2021,24.87,93.59,10.0,2.6,"31km NNW of Bishnupur, Manipur, India", Manipur,10
294,2021-05-05 12:49:51,2021,25.13,94.87,50.0,3.9,"45km ENE of Ukhrul, Manipur, India", Manipur,10
2585,2019-11-05 15:49:35,2019,24.3,93.5,13.0,3.4,"35km SW of Moirang, Manipur, India", Manipur,10
2250,2020-02-10 01:07:30,2020,23.1,94.7,20.0,4.1,"145km ESE of Champhai, Mizoram, India", Mizoram,10
2292,2020-01-31 02:58:50,2020,25.4,94.7,90.0,2.6,"41km NE of Shirui, Manipur, India", Manipur,10
297,2021-05-05 02:19:48,2021,23.79,93.92,10.0,3.2,"70km ENE of Champhai, Mizoram, India", Mizoram,10
300,2021-05-04 04:14:48,2021,23.43,94.11,93.0,3.9,"79km E of Champhai, Mizoram, India", Mizoram,10
323,2021-04-30 19:10:06,2021,24.38,94.65,34.0,3.6,"63km SSE of Ukhrul, Manipur, India", Manipur,10
2277,2020-02-03 20:34:53,2020,23.2,94.3,180.0,4.0,"103km ESE of Champhai, Mizoram, India", Mizoram,10
98,2021-06-26 00:36:34,2021,25.48,93.79,10.0,2.3,"36km S of Chumukedima, Nagaland, India", Nagaland,10
2270,2020-02-04 23:56:27,2020,22.1,94.0,203.0,4.4,"165km SSE of Champhai, Mizoram, India", Mizoram,10
114,2021-06-20 01:22:50,2021,25.28,94.3,30.0,3.6,"20km NW of Shirui, Manipur, India", Manipur,10
2256,2020-02-09 01:46:05,2020,24.7,94.7,35.0,2.8,"34km SE of Ukhrul, Manipur, India", Manipur,10
2262,2020-02-07 21:22:09,2020,23.65,93.53,10.0,3.7,"29km NE of Champhai, Mizoram, India", Mizoram,10
2248,2020-02-10 23:16:16,2020,22.9,94.6,13.0,3.5,"144km ESE of Champhai, Mizoram, India", Mizoram,10
2321,2020-01-25 05:26:25,2020,25.0,93.8,30.0,2.4,"24km NW of Imphal, Manipur, India", Manipur,10
2221,2020-02-16 19:46:14,2020,24.6,94.7,17.0,2.7,"43km SSE of Ukhrul, Manipur, India", Manipur,10
2212,2020-02-18 03:33:50,2020,25.6,93.8,8.0,2.6,"23km SSE of Chumukedima, Nagaland, India", Nagaland,10
2438,2019-12-22 13:01:33,2019,24.9,94.2,36.0,3.3,"28km ENE of Imphal, Manipur, India", Manipur,10
203,2021-05-23 06:56:42,2021,24.79,94.94,109.0,4.3,"49km ESE of Ukhrul, Manipur, India", Manipur,10
2151,2020-03-03 02:16:58,2020,24.2,94.7,160.0,3.6,"84km SSE of Ukhrul, Manipur, India", Manipur,10
2677,2019-09-09 14:35:06,2019,24.9,94.1,30.0,3.3,"18km ENE of Imphal, Manipur, India", Manipur,10
150,2021-06-04 15:02:13,2021,24.97,94.96,80.0,3.6,"48km E of Ukhrul, Manipur, India", Manipur,10
44,2021-07-16 00:51:46,2021,22.48,94.42,10.0,3.1,"155km SE of Champhai, Mizoram, India", Mizoram,10
146,2021-06-06 00:07:15,2021,24.48,94.48,47.0,2.6,"50km S of Ukhrul, Manipur, India", Manipur,10
2668,2019-09-22 08:01:23,2019,24.2,93.6,20.0,4.0,"37km SSW of Moirang, Manipur, India", Manipur,10
413,2021-04-13 23:03:10,2021,22.75,94.56,10.0,3.6,"148km ESE of Champhai, Mizoram, India", Mizoram,10
48,2021-07-15 02:04:40,2021,23.46,94.61,19.0,4.4,"130km E of Champhai, Mizoram, India", Mizoram,10
49,2021-07-15 01:40:51,2021,22.45,94.19,10.0,3.8,"142km SE of Champhai, Mizoram, India", Mizoram,10
406,2021-04-15 00:09:24,2021,23.32,94.1,30.0,3.1,"80km E of Champhai, Mizoram, India", Mizoram,10
70,2021-07-09 05:56:27,2021,24.7,94.99,90.0,4.5,"57km ESE of Ukhrul, Manipur, India", Manipur,10
2406,2020-01-02 06:11:45,2020,25.5,93.8,30.0,2.9,"34km S of Chumukedima, Nagaland, India", Nagaland,10
390,2021-04-18 18:54:33,2021,22.48,94.08,10.0,4.8,"133km SE of Champhai, Mizoram, India", Mizoram,10
2393,2020-01-05 16:21:58,2020,24.1,94.2,10.0,2.9,"61km SE of Moirang, Manipur, India", Manipur,10
2390,2020-01-07 00:01:25,2020,23.9,94.6,34.0,3.5,"106km SE of Moirang, Manipur, India", Manipur,10
128,2021-06-16 02:24:45,2021,23.83,94.0,15.0,2.7,"77km SSE of Moirang, Manipur, India", Manipur,10
2201,2020-02-21 06:31:52,2020,19.8,88.0,10.0,4.7,"226km E of Puri, Odisha, India", Odisha,10
2639,2019-10-12 07:53:45,2019,22.7,94.5,136.0,3.3,"146km SE of Champhai, Mizoram, India", Mizoram,10
249,2021-05-15 01:02:35,2021,22.85,93.75,30.0,3.1,"80km SSE of Champhai, Mizoram, India", Mizoram,10
84,2021-07-05 16:36:17,2021,22.46,93.64,10.0,3.5,"115km SSE of Champhai, Mizoram, India", Mizoram,10
83,2021-07-05 20:20:59,2021,24.67,94.14,20.0,2.8,"26km SE of Imphal, Manipur, India", Manipur,10
2440,2019-12-22 00:40:08,2019,24.1,93.7,66.0,3.1,"44km S of Moirang, Manipur, India", Manipur,10
2194,2020-02-22 17:01:10,2020,23.9,94.3,26.0,3.4,"85km SE of Moirang, Manipur, India", Manipur,10
2367,2020-01-17 11:39:44,2020,24.8,94.4,65.0,3.6,"16km SSW of Ukhrul, Manipur, India", Manipur,10
2373,2020-01-14 06:55:01,2020,23.7,94.1,87.0,4.3,"83km ENE of Champhai, Mizoram, India", Mizoram,10
2653,2019-10-03 11:54:42,2019,24.9,94.0,40.0,4.8,"11km NE of Imphal, Manipur, India", Manipur,10
2186,2020-02-24 12:37:59,2020,24.4,94.4,73.0,3.2,"59km S of Ukhrul, Manipur, India", Manipur,10
2558,2019-11-16 04:14:59,2019,24.9,94.2,38.0,3.3,"28km ENE of Imphal, Manipur, India", Manipur,10
2654,2019-10-03 03:28:49,2019,25.2,94.3,29.0,2.8,"14km WNW of Shirui, Manipur, India", Manipur,10
2342,2020-01-21 03:14:28,2020,23.0,94.2,20.0,3.6,"102km ESE of Champhai, Mizoram, India", Mizoram,10
2512,2019-11-28 21:35:04,2019,24.0,94.0,128.0,3.5,"59km SSE of Moirang, Manipur, India", Manipur,10
1285,2020-08-28 06:27:19,2020,23.0,93.27,5.0,3.3,"51km S of Champhai, Mizoram, India", Mizoram,10
769,2021-01-06 20:38:42,2021,23.06,94.26,32.0,3.7,"104km ESE of Champhai, Mizoram, India", Mizoram,10
1616,2020-06-23 19:17:37,2020,23.01,93.03,25.0,3.7,"39km SE of Thenzawl, Mizoram, India", Mizoram,10
1615,2020-06-23 23:03:48,2020,22.89,93.64,10.0,3.2,"70km SSE of Champhai, Mizoram, India", Mizoram,10
1614,2020-06-24 08:02:36,2020,23.18,93.25,10.0,4.1,"31km SSW of Champhai, Mizoram, India", Mizoram,10
1609,2020-06-25 00:45:50,2020,23.47,94.07,100.0,4.2,"75km E of Champhai, Mizoram, India", Mizoram,10
1203,2020-09-16 15:53:25,2020,25.44,93.59,31.0,2.7,"43km SSW of Chumukedima, Nagaland, India", Nagaland,10
1608,2020-06-25 01:14:44,2020,23.26,93.34,136.0,4.5,"21km S of Champhai, Mizoram, India", Mizoram,10
1605,2020-06-25 15:48:55,2020,24.83,92.54,58.0,2.8,"63km NE of Dharmanagar, Tripura, India", Tripura,10
937,2020-11-12 15:35:28,2020,23.88,94.54,25.0,3.7,"103km SE of Moirang, Manipur, India", Manipur,10
923,2020-11-14 14:20:26,2020,23.53,94.5,30.0,5.2,"119km E of Champhai, Mizoram, India", Mizoram,10
912,2020-11-19 01:20:31,2020,25.33,94.19,10.0,2.7,"32km NW of Shirui, Manipur, India", Manipur,10
906,2020-11-21 06:54:40,2020,25.45,94.29,11.8,2.8,"31km SE of Kohima, Nagaland, India", Nagaland,10
904,2020-11-21 10:19:36,2020,24.92,94.88,30.0,4.0,"40km E of Ukhrul, Manipur, India", Manipur,10
718,2021-01-21 22:20:15,2021,24.84,94.72,10.0,2.8,"26km ESE of Ukhrul, Manipur, India", Manipur,10
1587,2020-06-28 11:24:37,2020,24.74,94.4,60.0,4.0,"22km SSW of Ukhrul, Manipur, India", Manipur,10
1585,2020-06-28 14:49:34,2020,25.1,94.3,59.0,2.3,"12km WSW of Shirui, Manipur, India", Manipur,10
732,2021-01-18 02:06:54,2021,24.31,93.75,28.0,2.7,"21km S of Moirang, Manipur, India", Manipur,10
1235,2020-09-10 22:24:57,2020,23.99,94.81,114.0,3.8,"110km SSE of Ukhrul, Manipur, India", Manipur,10
1563,2020-07-03 14:35:41,2020,23.02,93.53,25.0,4.6,"52km SSE of Champhai, Mizoram, India", Mizoram,10
902,2020-11-21 14:03:58,2020,25.49,94.33,16.0,2.7,"30km SE of Kohima, Nagaland, India", Nagaland,10
901,2020-11-21 16:09:38,2020,25.45,94.35,5.0,2.8,"34km SE of Kohima, Nagaland, India", Nagaland,10
1554,2020-07-05 17:26:37,2020,23.24,93.24,77.0,4.6,"25km SSW of Champhai, Mizoram, India", Mizoram,10
945,2020-11-11 09:22:15,2020,24.6,93.56,29.0,3.4,"20km W of Bishnupur, Manipur, India", Manipur,10
1196,2020-09-18 23:23:39,2020,23.41,94.51,20.0,4.3,"120km E of Champhai, Mizoram, India", Mizoram,10
1191,2020-09-19 23:26:54,2020,25.23,93.94,19.0,2.9,"45km N of Imphal, Manipur, India", Manipur,10
1623,2020-06-22 04:10:52,2020,23.22,93.24,20.0,5.5,"27km SSW of Champhai, Mizoram, India", Mizoram,10
1757,2020-05-22 03:26:45,2020,25.0,94.9,113.0,3.6,"43km E of Ukhrul, Manipur, India", Manipur,10
1754,2020-05-22 12:13:28,2020,24.84,95.11,137.0,3.8,"64km E of Ukhrul, Manipur, India", Manipur,10
1750,2020-05-22 21:36:58,2020,23.6,94.0,16.0,3.4,"70km ENE of Champhai, Mizoram, India", Mizoram,10
655,2021-02-11 00:45:51,2021,23.7,93.1,30.0,3.1,"23km SSW of Ngopa, Mizoram, India", Mizoram,10
1737,2020-05-25 20:12:15,2020,24.4,93.7,40.0,5.2,"13km SW of Moirang, Manipur, India", Manipur,10
1736,2020-05-25 20:25:33,2020,24.4,93.6,32.0,2.6,"20km WSW of Moirang, Manipur, India", Manipur,10
1719,2020-05-29 23:53:28,2020,23.2,93.8,5.0,3.2,"56km ESE of Champhai, Mizoram, India", Mizoram,10
1713,2020-05-31 06:24:36,2020,25.1,94.9,82.0,4.0,"46km ENE of Ukhrul, Manipur, India", Manipur,10
1704,2020-06-02 08:18:59,2020,25.1,93.8,23.0,3.0,"34km NNW of Imphal, Manipur, India", Manipur,10
1686,2020-06-09 23:34:24,2020,25.0,93.9,28.0,2.9,"20km N of Imphal, Manipur, India", Manipur,10
893,2020-11-22 23:58:24,2020,22.37,94.13,25.0,3.8,"146km SE of Champhai, Mizoram, India", Mizoram,10
678,2021-02-04 00:27:27,2021,23.45,94.21,5.0,3.4,"90km E of Champhai, Mizoram, India", Mizoram,10
1678,2020-06-11 15:01:55,2020,24.7,94.9,110.0,3.6,"49km ESE of Ukhrul, Manipur, India", Manipur,10
1667,2020-06-14 04:12:49,2020,24.4,93.7,30.0,2.9,"13km SW of Moirang, Manipur, India", Manipur,10
1664,2020-06-14 11:05:31,2020,23.2,93.6,48.0,5.0,"39km SE of Champhai, Mizoram, India", Mizoram,10
690,2021-02-01 01:34:26,2021,24.84,94.35,35.0,4.0,"16km SW of Ukhrul, Manipur, India", Manipur,10
954,2020-11-10 10:15:40,2020,22.86,94.41,80.0,4.3,"129km ESE of Champhai, Mizoram, India", Mizoram,10
707,2021-01-26 12:35:18,2021,25.14,93.87,15.0,3.3,"36km N of Imphal, Manipur, India", Manipur,10
1189,2020-09-20 07:29:06,2020,23.0,93.65,45.0,4.6,"60km SSE of Champhai, Mizoram, India", Mizoram,10
1634,2020-06-18 19:29:25,2020,22.82,94.0,80.0,5.0,"98km SE of Champhai, Mizoram, India", Mizoram,10
715,2021-01-23 02:44:44,2021,24.34,94.95,21.0,3.9,"81km SE of Ukhrul, Manipur, India", Manipur,10
1627,2020-06-21 16:16:24,2020,23.88,93.09,30.0,5.1,"12km W of Ngopa, Mizoram, India", Mizoram,10
1177,2020-09-24 00:26:42,2020,24.66,94.26,65.0,2.9,"37km ESE of Imphal, Manipur, India", Manipur,10
738,2021-01-17 02:58:15,2021,23.62,93.5,25.0,3.2,"25km NE of Champhai, Mizoram, India", Mizoram,10
739,2021-01-17 02:18:11,2021,23.65,93.46,55.0,4.4,"25km NNE of Champhai, Mizoram, India", Mizoram,10
744,2021-01-14 00:45:35,2021,24.96,93.24,15.0,4.2,"64km NW of Bishnupur, Manipur, India", Manipur,10
1424,2020-07-27 06:48:33,2020,25.09,95.04,10.0,4.1,"59km ENE of Ukhrul, Manipur, India", Manipur,10
1420,2020-07-28 01:04:15,2020,24.56,94.55,60.0,3.0,"42km S of Ukhrul, Manipur, India", Manipur,10
